01_Posttype	02_by_Andersen	03_genre	04_main_title	04b_incipit	05_original_title	06_creator	06b_creator_is_human	07_opus	08_part_of	09_Krydshenvisning_til	10_Note	12_adapted_from_creator	RegistryTitelID
standardpost	False	VocalAndInstrumentalMusic	Agnetes Vuggevise		Agnete og Havfruerne	N. W. Gade	True						Reg000172
standardpost	False	VocalAndInstrumentalMusic		Alt farer hen som Vinden		C. F. E. Horneman	True						Reg003595
standardpost	False	VocalAndInstrumentalMusic	Den ambrosianske Lovsang			C. E. F. Weyse	True						Reg000686
standardpost	False	VocalAndInstrumentalMusic	An den Sonnenschein			R. Schumann	True						Reg000223
standardpost	False	VocalAndInstrumentalMusic	Annen-Polka	N° 3		Johann Strauss d. Æ.	True						Reg000234
standardpost	False	VocalAndInstrumentalMusic		At kjøre Vatten og kjøre Veed		norsk Folkevise	False						Reg003596
standardpost	False	VocalAndInstrumentalMusic	Billeder til Den lille Havfrue, Eventyr af H. C. Andersen, componerede for Piano og Digteren med Høiagtelse tilegnede			Axel Grandjean	True	op. 3					Reg000360
standardpost	False	VocalAndInstrumentalMusic	Børnenes Juul			N. W. Gade	True	op. 36					Reg000428
standardpost	False	VocalAndInstrumentalMusic	Børnenes Musik			S. A. E. Hagen	True						Reg000429
standardpost	False	VocalAndInstrumentalMusic	Cantate ved Frederik den Syvendes Bisættelse			J. P. E. Hartmann	True	op. 64b					Reg000444
standardpost	False	VocalAndInstrumentalMusic	Cantate til Fru Dorothea Melchior den 16. Februar 1871			J. A. Hägg	True						Reg000441
standardpost	False	VocalAndInstrumentalMusic	Cantate ved Indvielsen af Studenterforeningsbygningen			J. P. E. Hartmann	True	op. 64a					Reg000446
standardpost	False	VocalAndInstrumentalMusic	Carneval de Venise										Reg000457
standardpost	False	VocalAndInstrumentalMusic	Le Chant des Titans		Canto dei Titani	G. Rossini	True						Reg002060
standardpost	False	VocalAndInstrumentalMusic	Comala, dramatisk Digt efter Ossian			N. W. Gade	True	op. 12					Reg000537
standardpost	False	VocalAndInstrumentalMusic		Danmark deiligst Vang og Vænge -		Poul Rasmussen	True						Reg003601
standardpost	False	VocalAndInstrumentalMusic		Danmark, mit Fædreland!		H. Rung	True						Reg003602
standardpost	False	VocalAndInstrumentalMusic		Dannevang ved grønne Bred -		C. E. F. Weyse	True						Reg003604
standardpost	False	VocalAndInstrumentalMusic		Den danske Bonde bad -		J. P. E. Hartmann	True		af: Sørge-Cantate over Høisalig Kong Frederik den Sjette, op. 27				Reg003612
standardpost	False	VocalAndInstrumentalMusic		Der er et yndigt Land -		H. E. Krøyer	True						Reg003615
standardpost	False	VocalAndInstrumentalMusic		Det gamle Træ, o lad det staa!					Sang af »Hyldemoer«				Reg003617
standardpost	False	VocalAndInstrumentalMusic	Dronning Dagmar, Folkevise-Fantasi for Orgel			H. Matthison-Hansen	True						Reg000996
standardpost	False	VocalAndInstrumentalMusic	Dryadens Bryllup			J. P. E. Hartmann	True	op. 60					Reg001004
standardpost	False	VocalAndInstrumentalMusic	Drømmebilleder			H. C. Lumbye	True						Reg001006
standardpost	False	VocalAndInstrumentalMusic		Du, du liegst mir im Herzen!		tysk Folkevise	False						Reg003620
standardpost	False	VocalAndInstrumentalMusic	Efterklange af Ossian			N. W. Gade	True	op. 1					Reg001016
